state,year,production_all_sources,sales_all_sectors,revenue_all_sectors,price_all_sectors,export_minus_import,#
Alabama,2001,70.27453496,19.23173106,-8.288944972,-22.8066382,0,#
Alabama,2002,74.89841106,22.24679058,-2.982580177,-20.16832063,0,#
Alabama,2003,79.77921222,22.39210616,-3.226145843,-20.02986746,0,#
Alabama,2004,75.67492547,24.88857202,-0.340707429,-19.62674961,0,#
Alabama,2005,72.92150324,24.26445634,-1.342973992,-20.36835617,0,#
Alabama,2006,76.21354514,26.01266257,0.14376906,-20.25257664,0,#
Alabama,2007,75.87996604,24.40366943,3.184354792,-17.8119811,0,#
Alabama,2008,80.04428074,22.5587351,8.115933531,-14.14881734,0,#
Alabama,2009,84.51509939,17.4654834,5.594104586,-11.18977656,0,#
Alabama,2010,87.61023914,23.42531545,11.63256675,-12.05532063,0,#
Alabama,2011,93.85690924,21.03866669,11.33368249,-11.81835455,0,#
Alabama,2012,92.15018975,18.96418343,10.92863402,-11.30098706,0,#
Alaska,2001,-90.8389598,-91.80552324,-88.14987559,45.28893454,-1.17228428,#
Alaska,2002,-91.09548282,-91.95663909,-88.30625807,46.24157026,-0.87921321,#
Alaska,2003,-91.71143028,-91.87838162,-88.52956328,42.8038081,-1.17228428,#
Alaska,2004,-91.65241592,-91.67824126,-87.99181793,45.27993779,-1.17228428,#
Alaska,2005,-91.75601754,-91.76335115,-88.13966865,44.47103183,-1.17228428,#
Alaska,2006,-91.65278972,-91.40861543,-87.59677675,44.83124696,-1.17228428,#
Alaska,2007,-91.65836589,-91.42909001,-87.52874516,44.18188785,-1.17228428,#
Alaska,2008,-91.63795805,-91.35893725,-86.93374388,47.21628878,-1.17228428,#
Alaska,2009,-91.36752775,-91.10986124,-86.34272543,51.7719447,-1.17228428,#
Alaska,2010,-91.66505852,-91.51419554,-87.25002534,46.01388835,-1.17228428,#
Alaska,2011,-91.48008244,-91.40507305,-86.03559366,55.8198746,-1.17228428,#
Alaska,2012,-91.26918361,-91.14295051,-85.30693364,57.78375613,-1.17228428,#
Arizona,2001,21.38892373,-6.436037605,-6.686116517,0.213525055,-55.09736116,#
Arizona,2002,23.53320669,-7.872777344,-7.695321823,0.803223861,-14.06741136,#
Arizona,2003,22.69147845,-6.459475581,-7.616671765,-0.173337956,15.82583778,#
Arizona,2004,33.87284664,-3.774050917,-5.876126061,-1.516329705,-77.95690462,#
Arizona,2005,26.93649973,-3.333640443,-7.509346671,-3.973605975,76.1984782,#
Arizona,2006,30.18890872,1.797661974,-5.747474264,-7.055336843,182.2902055,#
Arizona,2007,38.29386887,4.576703837,-2.221649621,-7.280623324,-2.63763963,#
Arizona,2008,47.21270328,4.197779912,-2.509163025,-8.951772522,262.5916787,#
Arizona,2009,43.78390454,4.12065838,1.304201823,-3.847595007,230.9400032,#
Arizona,2010,37.27979773,-1.065617174,-2.415025974,-4.141288746,-68.57863038,#
Arizona,2011,33.77275464,1.927538128,0.043242665,-5.907277218,-426.4184069,#
Arizona,2012,39.19458062,3.615517446,3.223529122,-5.213799898,-14.36048243,#
Arkansas,2001,-35.89218103,-37.29912598,-47.95170188,-16.60360019,0,#
Arkansas,2002,-37.35209837,-37.52853294,-51.33463682,-21.5664236,0,#
Arkansas,2003,-34.12155723,-37.07245874,-52.89103302,-24.24597989,0,#
Arkansas,2004,-33.64854595,-37.21484876,-53.26625441,-25.0466563,0,#
Arkansas,2005,-40.14045947,-35.68884669,-50.19060254,-22.34065695,0,#
Arkansas,2006,-34.79104336,-35.19156888,-49.08343634,-21.15495201,0,#
Arkansas,2007,-33.30863338,-36.25286922,-51.43374567,-24.43479372,0,#
Arkansas,2008,-32.1696369,-36.97046427,-50.81893457,-24.04319113,0,#
Arkansas,2009,-26.25219548,-38.78479214,-52.83156474,-23.86258308,0,#
Arkansas,2010,-24.78201654,-34.53421005,-51.51917388,-27.98230981,0,#
Arkansas,2011,-24.06549799,-34.81547878,-51.0410745,-28.00114003,0,#
Arkansas,2012,-18.40226152,-35.31625308,-49.94366103,-26.37402194,0,#
California,2001,170.7320594,272.2449148,472.9343236,54.66241418,-3054.386692,#
California,2002,143.0197027,246.1548863,486.455714,70.42875158,-1869.500356,#
California,2003,154.4774836,255.0437838,462.4388656,60.21227233,-4125.561452,#
California,2004,151.210916,262.3227332,439.9509626,50.03888025,-1242.914408,#
California,2005,150.7710145,254.1883742,406.0093551,43.36161265,-5526.734238,#
California,2006,170.9029036,265.4272891,426.5764671,44.60565312,-2371.531098,#
California,2007,157.0802769,257.9695346,402.0011032,38.97049432,-5504.460837,#
California,2008,155.9177398,266.3556047,369.3730713,24.72907562,-4694.70547,#
California,2009,163.3606937,268.064002,396.2638733,33.16504625,-2528.617192,#
California,2010,152.1208336,251.1812462,365.0212841,28.70194359,-3072.264027,#
California,2011,149.2134407,256.2553251,369.9724488,26.45829375,-5885.160157,#
California,2012,149.3258707,258.2596648,392.535128,30.72959097,-8301.8242,#
Colorado,2001,-35.64069061,-33.53761133,-45.10267389,-17.01713606,-36.04774161,#
Colorado,2002,-39.41888006,-32.39663902,-43.59926054,-16.11382203,-6.74063461,#
Colorado,2003,-38.51101508,-32.1291614,-38.23227728,-7.925544681,-2.05149749,#
Colorado,2004,-38.28493388,-32.82791619,-38.69105365,-8.125972006,-37.22002589,#
Colorado,2005,-37.49839294,-32.64036476,-36.78358298,-5.822637952,-5.8614214,#
Colorado,2006,-36.0916241,-30.8862482,-40.8833643,-14.16154288,-1.17228428,#
Colorado,2007,-33.6674381,-30.50299477,-40.94468047,-15.74913782,0.58614214,#
Colorado,2008,-33.42317685,-28.76257529,-37.17565744,-14.14881734,1.46535535,#
Colorado,2009,-34.59046235,-27.6361136,-38.75917187,-16.41982369,0,#
Colorado,2010,-37.16049078,-28.11793633,-33.09235959,-9.483260271,3.22378177,#
Colorado,2011,-35.62128515,-27.29375006,-31.02892764,-9.008170245,7.91291889,#
Colorado,2012,-33.32799104,-25.89419005,-29.29375311,-9.271924673,1.17228428,#
Connecticut,2001,-58.58011179,-54.11407034,-39.43286613,32.60716796,-765.5016348,#
Connecticut,2002,-58.77352462,-54.3703521,-38.41144549,35.75579802,-325.6019588,#
Connecticut,2003,-61.36664638,-53.53564718,-36.49693733,38.17968479,-345.8238626,#
Connecticut,2004,-58.28204022,-53.68697357,-37.60032437,35.62986003,-994.9762826,#
Connecticut,2005,-57.94052913,-53.89617601,-31.68890184,48.66217098,-1139.753391,#
Connecticut,2006,-56.62463152,-55.97858772,-26.63648945,67.2778343,-1165.250574,#
Connecticut,2007,-59.3985689,-53.76394244,-16.70755936,78.59879934,-1508.436797,#
Connecticut,2008,-62.4829629,-57.70694512,-22.74797557,77.79889867,-1989.659494,#
Connecticut,2009,-59.8198345,-57.86597441,-22.53645608,81.64356006,-2401.131277,#
Connecticut,2010,-58.90142513,-58.71666176,-26.95235716,72.03126818,-1781.285963,#
Connecticut,2011,-58.17062511,-59.39010376,-32.90438282,58.43625309,-2345.447773,#
Connecticut,2012,-54.61140289,-59.28953145,-35.7117351,50.15061668,0,#
Delaware,2001,-90.75213066,-82.90419538,-84.04644165,-6.265203525,0,#
Delaware,2002,-92.10186205,-82.3124673,-83.01785886,-3.391085038,0,#
Delaware,2003,-90.33379601,-81.60767245,-82.78112161,-5.341475773,0,#
Delaware,2004,-89.95285271,-83.09169072,-83.28542506,-0.458786936,0,#
Delaware,2005,-89.80063751,-83.09255635,-83.89007415,-4.34341237,0,#
Delaware,2006,-91.0174717,-83.94274376,-81.71287432,14.26328128,0,#
Delaware,2007,-89.56387915,-83.92085141,-80.00657569,23.22774301,0,#
Delaware,2008,-90.71347716,-83.9487275,-79.63351259,23.52975759,0,#
Delaware,2009,-93.76400134,-84.03757996,-80.26282989,22.101485,0,#
Delaware,2010,-93.06079347,-84.2348215,-80.78744363,18.41370214,0,#
Delaware,2011,-91.82831488,-84.38207681,-81.87543042,11.24453734,0,#
Delaware,2012,-89.14848129,-84.09901028,-82.13394628,6.863952409,0,#
District of Columbia,2001,-99.83258651,-83.65264631,-83.39900069,2.005513812,0,#
District of Columbia,2002,-99.65528397,-83.62223462,-83.29611838,2.620757717,0,#
District of Columbia,2003,-99.90304881,-84.02095134,-84.10416897,0.642683805,0,#
District of Columbia,2004,-99.95333361,-83.58955424,-83.90527376,-1.251944012,0,#
District of Columbia,2005,-99.71665151,-83.53914944,-81.4319657,13.16075702,0,#
District of Columbia,2006,-99.89811176,-84.1626573,-80.2791993,24.97898881,0,#
District of Columbia,2007,-99.90797826,-83.59385112,-78.80942763,28.00485375,0,#
District of Columbia,2008,-99.91074181,-83.80907374,-78.22321724,30.92555214,0,#
District of Columbia,2009,-99.95427681,-82.70326804,-77.16431211,30.44944485,0,#
District of Columbia,2010,-99.75356371,-83.86661697,-78.07386124,32.06540715,0,#
District of Columbia,2011,-99.75092106,-84.27496018,-79.65039559,24.13262398,0,#
District of Columbia,2012,-99.90977262,-84.45857853,-81.28406141,14.49709187,0,#
Florida,2001,159.3888894,201.6198306,217.5988248,5.727336613,0,#
Florida,2002,167.5737132,209.7462216,214.7752773,2.201326827,0,#
Florida,2003,178.0102742,217.3197553,229.3279346,4.994799861,0,#
Florida,2004,178.9699294,214.2459103,236.725576,7.869362364,0,#
Florida,2005,176.0961334,213.4096215,237.3735636,7.983467479,0,#
Florida,2006,179.8391915,217.1513391,272.4574399,17.87278277,0,#
Florida,2007,175.6531807,213.0594909,254.3179699,12.15353174,0,#
Florida,2008,171.0933116,208.9989126,240.737723,7.338964118,0,#
Florida,2009,180.7255305,218.6738131,272.8099906,15.56392609,0,#
Florida,2010,182.4883238,214.0687743,238.1491684,4.663071731,0,#
Florida,2011,175.1440049,206.1355312,228.228986,2.81398442,0,#
Florida,2012,177.8913472,204.6132012,222.9307548,0.873387265,0,#
Georgia,2001,62.2747784,76.974172,55.13245456,-11.91686037,0,#
Georgia,2002,68.17183129,82.17587356,57.9764756,-12.75837491,0,#
Georgia,2003,63.90721931,80.53774641,53.44353651,-14.04570789,0,#
Georgia,2004,64.43728264,86.12524797,60.96140397,-13.01710731,0,#
Georgia,2005,71.84065804,84.25556045,68.23576988,-8.411282721,0,#
Georgia,2006,73.6064665,87.37587579,60.70107782,-13.93594904,0,#
Georgia,2007,78.29168069,86.21423094,60.25261842,-14.66343083,0,#
Georgia,2008,68.46345717,84.67503501,67.60190636,-11.6502381,0,#
Georgia,2009,65.06460663,85.41260245,66.25079801,-11.39093222,0,#
Georgia,2010,70.32566328,91.08440152,72.5521202,-12.25317143,0,#
Georgia,2011,56.50530925,85.47237046,80.17433321,-6.876306289,0,#
Georgia,2012,55.83068195,80.79988255,72.12902966,-9.46516871,0,#
Hawaii,2001,-85.5555201,-85.29919362,-71.65920864,93.67263095,0,#
Hawaii,2002,-84.65361022,-85.44283696,-72.90942662,87.20598717,0,#
Hawaii,2003,-85.64722377,-84.83191446,-70.47343604,96.79724793,0,#
Hawaii,2004,-85.40624681,-84.57193273,-68.18855485,107.5427683,0,#
Hawaii,2005,-85.5559165,-85.31851862,-66.93812521,125.9517076,0,#
Hawaii,2006,-85.54330111,-85.31402095,-65.78998156,133.7152209,0,#
Hawaii,2007,-85.89628222,-85.65967479,-66.56248551,131.1470175,0,#
Hawaii,2008,-85.95835649,-85.80472548,-57.44945015,191.8340551,0,#
Hawaii,2009,-85.81828424,-85.64206733,-68.98873485,113.3255764,0,#
Hawaii,2010,-86.63855106,-86.39384992,-65.22003701,148.5006013,0,#
Hawaii,2011,-86.70332173,-86.45159617,-56.74631657,206.1162835,0,#
Hawaii,2012,-86.84138389,-86.69435438,-53.98961797,228.9013508,0,#
Idaho,2001,-87.3026878,-68.3043115,-78.61158829,-32.18011784,-0.29307107,#
Idaho,2002,-87.12225096,-69.53705612,-76.37206597,-21.98585449,0,#
Idaho,2003,-86.37090039,-69.02589652,-78.27089414,-29.00610683,-2.05149749,#
Idaho,2004,-86.10631792,-68.64696808,-79.51607416,-34.30015552,-32.82395984,#
Idaho,2005,-86.43065071,-69.55759855,-80.83879682,-36.88637517,-89.09360528,#
Idaho,2006,-83.25843962,-68.36853212,-82.49694821,-44.50391472,-39.85766552,#
Idaho,2007,-85.95651921,-67.8179055,-82.14030988,-44.95465577,-44.25373157,#
Idaho,2008,-85.22498704,-67.34561105,-80.91439402,-43.13233651,34.58238626,#
Idaho,2009,-83.12682667,-67.7373832,-78.62674074,-34.523833,44.25373157,#
Idaho,2010,-85.17302822,-69.03227541,-79.37562408,-35.30278931,23.73875667,#
Idaho,2011,-79.45509877,-68.34915709,-79.40721412,-37.59452784,17.29119313,#
Idaho,2012,-80.51950212,-67.26875673,-76.97385998,-33.13756323,-13.48126922,#
Illinois,2001,143.5004279,104.3834623,93.62987955,-4.886750635,0,#
Illinois,2002,147.4440155,103.7478637,96.41194435,-2.971654148,125.1413469,#
Illinois,2003,147.2099254,98.88868112,83.63379408,-6.70151204,160.3098753,#
Illinois,2004,145.5114462,100.19712,78.70347741,-10.1088647,16.11890885,#
Illinois,2005,143.3337637,101.9765245,72.40886528,-14.32818505,17.87733527,#
Illinois,2006,140.66241,97.95637663,57.24980735,-20.25257664,0.29307107,#
Illinois,2007,144.8915738,97.86671729,83.42112076,-8.149188913,-60.07956935,#
Illinois,2008,146.2082037,97.58077519,87.7810729,-7.452624978,-42.20223408,#
Illinois,2009,149.6999226,93.81077761,79.10258643,-8.675330822,-7.61984782,#
Illinois,2010,148.2783152,96.63891422,82.71175931,-9.681111068,-0.58614214,#
Illinois,2011,147.3749273,94.33234237,76.21630846,-13.07809234,-0.29307107,#
Illinois,2012,148.315985,98.13894762,69.01451455,-18.8375045,-5.27527926,#
Indiana,2001,66.50425031,46.84029721,6.753701965,-26.94199686,0,#
Indiana,2002,65.27650743,49.26869959,10.8253026,-25.34130161,0.87921321,#
Indiana,2003,63.30467022,46.65844669,5.874019638,-26.96605243,0,#
