State,All_Sectors,Commercial,Industrial,Residential
Texas,0.015899175937653567,0.005803674481949318,0.0038924852780178576,0.006200319694995074
California,0.007902666099138572,0.0037195751833711296,0.001385995944162279,0.0027768997934071752
Florida,0.01298862719725381,0.005333572718603119,0.0009629868578306512,0.006686777612836552
New York,0.00855573219606337,0.004536078733613849,0.00074939384156405,0.0031022686091754497
Ohio,0.014079522557266915,0.004439102832192491,0.004591249862176618,0.005045098841035378
Pennsylvania,0.01261838486554369,0.0037110815115814133,0.004035279245722396,0.004801336281967338
Illinois,0.011914211147977746,0.004290084656780741,0.0035803661581128663,0.003996659309533622
Georgia,0.014886362618479419,0.005212745526702907,0.0034213176431897386,0.006234849301476839
North Carolina,0.01484567558350217,0.005338491423035414,0.0029885525809232737,0.006517793331496684
Virginia,0.01499211558295538,0.006450085792768526,0.002261834407695815,0.006253886093829991
Michigan,0.011534559864584303,0.004254593810579908,0.0033383235720847787,0.003940957448875112
Indiana,0.017331975771314425,0.004118643676966076,0.007556595881552213,0.005653139955538433
Tennessee,0.016528854041967474,0.005813296346341575,0.0036451982074043846,0.0070700465750251525
Washington,0.014804035752631409,0.004714382338420174,0.004294514464929944,0.005794259766467298
Alabama,0.02010556044308723,0.005193613636820109,0.007594334534375958,0.007317612269799002
Louisiana,0.02039473094200079,0.005835003169825905,0.007197776979255176,0.007359212122896599
Missouri,0.014990846897950168,0.005615124141603329,0.002938889674227119,0.006432904615467846
Kentucky,0.0206705561848076,0.005174587088393306,0.008780891424947463,0.006715077671466828
South Carolina,0.018617660318193334,0.005030583595150566,0.0065680776734544566,0.0070189990409403455
New Jersey,0.009622266366041266,0.004895432863499037,0.0009294319426508099,0.003757188338485428
Arizona,0.01304444387428882,0.005148264413251717,0.0021031596677543256,0.005793019793282779
Wisconsin,0.013377958449343816,0.004547638525925684,0.0044183909402977254,0.00441192898839561
Minnesota,0.01391557232426929,0.0046699800902162076,0.004476406557407957,0.004765231670885241
Maryland,0.011973997880334325,0.005780033648263668,0.0007363873556521185,0.005355937490473802
Oklahoma,0.016979826646453505,0.005639572543331722,0.00458596106042863,0.006754293053355977
Massachusetts,0.009529416058851227,0.0030714330989125987,0.002774903199310773,0.003623527803728647
Colorado,0.011761078373163423,0.004314653509228911,0.003302290729969562,0.0041305795498922685
Mississippi,0.017944556658804293,0.0050847577475392584,0.005979073304761875,0.0068807256199834394
Oregon,0.013388444008129314,0.0045300685264758654,0.00329708891031601,0.005554899652160203
Arkansas,0.017259969117787263,0.004403448011912544,0.006067513307987399,0.006788871466893103
Iowa,0.01649977821035303,0.004405579504030226,0.006815470534458394,0.005278728188277466
Kansas,0.015242326861349582,0.005944087205646594,0.003999981718246494,0.005298257958486119
Nevada,0.014183552530576168,0.0037565301451444534,0.00539571536697511,0.0050279828783089085
Connecticut,0.00961432373267989,0.0041790676274314886,0.0010694798406422658,0.004307280507496019
West Virginia,0.018280721891166404,0.004548310825615193,0.006888228871761053,0.006841846767987377
Utah,0.011872965846987122,0.004265190859967039,0.0038501525280538085,0.003735953771593246
Nebraska,0.01786695151124571,0.005577747748093045,0.006230128229065657,0.006059075534087008
Idaho,0.01647015962163383,0.004172619333470275,0.0062953006158529504,0.006002239665931352
New Mexico,0.01229834551051657,0.004796373559559417,0.0038091477428625676,0.0036928242226634987
Wyoming,0.03256309850858548,0.007819516789502259,0.019195900774627146,0.005547680979940598
North Dakota,0.02529031155635445,0.008832460856597843,0.008293961620063307,0.008163889020221799
Montana,0.01535517346108559,0.00540810665898536,0.004446808487843827,0.005500258324363386
Maine,0.009972239586979745,0.003446719950374936,0.002515431686115446,0.004010087973073584
South Dakota,0.016096844211353753,0.006216900918715762,0.003435716487754551,0.006444226804883441
Hawaii,0.009307888430575293,0.0032217703067188804,0.0034590178350232784,0.0026271003329410183
New Hampshire,0.009545844804667025,0.0038827244525131608,0.0016582119076013885,0.004004908490128905
Delaware,0.013884682148131156,0.005119299725815037,0.0030297750836921203,0.005735607394307377
District of Columbia,0.020606665026931,0.015809676462425405,0.00040014031373239846,0.003804309541101138
Rhode Island,0.008426089731105002,0.003938297723565341,0.000984666249274393,0.003474659237844242
Alaska,0.010271942846763941,0.004594408199585768,0.0021738055646683967,0.0035037290965897008
Vermont,0.010174841827529282,0.0037143462231178713,0.0025043273335133864,0.003956168318841182
