state,All_Sectors,Commercial,Industrial,Other,Residential,Transportation,Price
Alabama,1.65499973847928,0.48499461058100285,0.43955066555977146,,0.73045446024634,,9.18
Arizona,1.1515928399439488,0.4426695047901155,0.12720452871135982,,0.5817188048780221,,9.81
Arkansas,1.2241706145371714,0.32016236739167564,0.3330908893871501,,0.5708995383272095,1.78365783948657e-05,7.62
California,0.9428074097687774,0.4382665811383897,0.13221366342946236,,0.3710093330759289,0.0013178337355635467,13.53
Colorado,1.0025762169539625,0.37349190606212207,0.21291998164318907,,0.4151536388718992,0.001010698330309656,9.39
Connecticut,1.282695419290523,0.5319649410746267,0.12644026169407266,,0.619063858647373,0.0052263690660885815,15.54
Delaware,1.4188693044254923,0.4786533085950638,0.25638343129895963,,0.6838325979414968,,11.06
District of Columbia,2.218059406072229,1.7409342670963217,0.019807552644655432,,0.40872541019705083,0.04859219275314389,11.85
Florida,1.22484031272289,0.4730958278970986,0.0702008477068885,,0.6811663713858237,0.00037726732871273333,10.44
Georgia,1.2670499036247478,0.4541910522600263,0.19265692113456168,,0.6189617144627291,0.0012402178319144998,9.37
Idaho,1.0474879783003377,0.2617586958768345,0.3346006779868613,,0.45112861081589356,,6.92
Illinois,0.9393644654448822,0.3163114537148287,0.2045951158134689,,0.41580863670628226,0.002649259210302345,8.4
Indiana,1.34499445849827,0.3386561141132935,0.47087631300277216,,0.5351628535232877,0.0002991778589167282,8.29
Iowa,1.1568778326885736,0.32093774691393484,0.33915752103743657,,0.49678257130242537,0.0,7.71
Kansas,1.3182914902222762,0.5003034224311788,0.27433643473561203,,0.54365164006536,,9.33
Kentucky,1.4892710664942608,0.37729664257482715,0.544916228565134,,0.5670581953542994,,7.26
Louisiana,1.28913189343385,0.414670646926835,0.3196254818708899,,0.5546320531383703,0.00020371590948194856,6.9
Maine,1.02808975120468,0.3517326690560774,0.18189664556547505,,0.4944604591673498,,11.81
Maryland,1.2078721348660235,0.5440837945167897,0.06305903021225062,,0.5931454518812682,0.007583865183859088,11.28
Massachusetts,1.1648093515988764,0.37465561503255607,0.32487791229466423,,0.46265473501934823,0.002621096888660002,13.79
Michigan,1.1645596834769376,0.4260935869780769,0.2455717488698496,,0.4928380758505976,5.6277849051564e-05,10.98
Minnesota,1.13600070325278,0.37494486630184254,0.28857723666907054,,0.4721957927383965,0.0002828113142625508,8.86
Mississippi,1.4028015732836991,0.42698032586559415,0.35346795753846005,,0.6223533067299971,,8.6
Missouri,1.1737452234765926,0.41733198618049616,0.17311486848979793,,0.5830472453579748,0.00025113012731662953,8.53
Montana,1.1556531991126069,0.45368868472784424,0.21499551755330168,,0.486968996831461,,8.25
Nebraska,1.4132373746195261,0.42372564050196543,0.45712773244426974,,0.5323840180995772,,8.37
Nevada,1.1655063651825126,0.3045567922990531,0.32975600534853816,,0.5309406450757642,0.00025291135031332493,8.95
New Hampshire,1.1719221098847676,0.4545269774472643,0.17550036081338732,,0.5418947792201874,,14.19
New Jersey,1.1677784479658195,0.5571975526547522,0.0928498705739628,,0.5145387160036279,0.0031923110082992356,13.68
New Mexico,0.9939416680142912,0.4150417812147462,0.20526359291737145,,0.37363628902586904,,8.83
New York,1.1189542283346428,0.5906422295640719,0.047357585381684955,,0.4608146417022679,0.020139773750803874,15.15
North Carolina,1.2291567621692576,0.42261506837147106,0.1811636222307774,,0.6253191684154856,5.8906297667354654e-05,9.15
North Dakota,1.71262419509033,0.6093856444704137,0.4991098602270919,,0.6041286755249475,,7.83
Ohio,1.2055482839515332,0.3838809079423021,0.288502729249693,,0.532959431210703,0.0002052172824626941,9.12
Oklahoma,1.1921814887489866,0.38949024764678114,0.22468833761490192,,0.5780029141501288,,7.54
Oregon,1.0010106095575289,0.3428573788968837,0.17507363992447025,,0.4825461893975423,0.0005334013386324566,8.21
Pennsylvania,1.1285200134557472,0.31886920394990576,0.27335490698238496,,0.5307373500664718,0.005558554031492841,9.91
Rhode Island,0.9330604037557705,0.41037951028295583,0.09367309634446074,,0.42714960662836665,0.001858190499987174,12.74
South Carolina,1.530630129866536,0.4423425680659944,0.3665933816235868,,0.7216941888249228,,9.1
South Dakota,1.2236612297035054,0.45312607777150016,0.219828072416419,,0.5507071286447714,,8.49
Tennessee,1.4075931945658007,0.45723638830432206,0.31756072740681096,,0.6327650740099636,3.1012723552478255e-05,9.27
Texas,1.2414830398892274,0.4317598127955865,0.2094143021903548,,0.6000148372112278,0.00029408769205825234,8.55
Utah,0.8434288691461477,0.3148530854214267,0.19713363616793028,,0.330089638317079,0.0013525237120936653,7.84
Vermont,1.2523457788446017,0.4561770924392041,0.22672321295871617,,0.5694455054087874,,14.22
Virginia,1.2222859324006528,0.4721747491321111,0.14532793802393296,,0.6027844448410604,0.0019988054029084277,9.07
Washington,0.9535257876375187,0.33374737454160436,0.1693619399988698,,0.45033286737828904,8.360571875548368e-05,6.94
West Virginia,1.353008007581244,0.35279455842814383,0.40493255779565396,,0.595085898821043,0.00019497634638860142,8.14
Wisconsin,1.244565216091617,0.42938219119934534,0.30429659928826974,,0.5108864238456011,,10.28
Wyoming,2.165691788526434,0.6206672509784857,1.0704078591122483,,0.4746166429511769,,7.19
