has,prefers,count
revenue_transportation,consumption_other,
consumption_other,consumption_transportation,
price_transportation,revenue_other,
price_other,consumption_transportation,
revenue_other,revenue_transportation,
price_other,price_transportation,
price_other,revenue_transportation,
revenue_other,consumption_transportation,
price_transportation,consumption_other,
price_all_sectors,price_commercial,0.987984307
price_all_sectors,price_residential,0.987373531
revenue_all_sectors,revenue_residential,0.98283685
revenue_all_sectors,consumption_commercial,0.979040702
price_commercial,price_residential,0.978735551
consumption_all_sectors,consumption_residential,0.97858731
revenue_transportation,consumption_transportation,0.974497606
revenue_other,consumption_other,0.972265485
revenue_residential,consumption_commercial,0.971953252
revenue_all_sectors,revenue_commercial,0.969050267
consumption_all_sectors,consumption_commercial,0.959633353
revenue_residential,consumption_residential,0.958666007
price_all_sectors,price_industrial,0.954025238
revenue_residential,consumption_all_sectors,0.95129445
revenue_commercial,consumption_commercial,0.950837481
production_all_sources,consumption_all_sectors,0.949946128
consumption_commercial,consumption_residential,0.945227115
revenue_all_sectors,consumption_all_sectors,0.944145596
price_commercial,price_industrial,0.936221071
revenue_industrial,consumption_industrial,0.929274138
revenue_commercial,revenue_residential,0.928249146
price_industrial,price_residential,0.926603483
production_all_sources,consumption_residential,0.925467532
revenue_all_sectors,consumption_residential,0.918676475
revenue_industrial,consumption_all_sectors,0.888577211
production_all_sources,consumption_industrial,0.888572133
production_all_sources,revenue_residential,0.876961282
production_all_sources,revenue_industrial,0.871928445
production_all_sources,consumption_commercial,0.865890382
consumption_all_sectors,consumption_industrial,0.861867573
production_all_sources,revenue_all_sectors,0.858340696
revenue_commercial,consumption_all_sectors,0.854355929
revenue_all_sectors,revenue_industrial,0.85174877
production_natural_gas,revenue_residential,0.841251365
revenue_commercial,consumption_residential,0.822730776
production_natural_gas,revenue_all_sectors,0.820834717
revenue_industrial,revenue_residential,0.813368163
revenue_industrial,consumption_residential,0.805972649
production_natural_gas,consumption_residential,0.805962601
revenue_all_sectors,revenue_other,0.804568903
revenue_industrial,consumption_commercial,0.803824942
production_natural_gas,consumption_all_sectors,0.797969451
production_natural_gas,consumption_commercial,0.793179438
production_coal,consumption_industrial,0.791062792
revenue_other,revenue_residential,0.784708061
revenue_commercial,revenue_other,0.782454083
revenue_other,consumption_commercial,0.777927716
consumption_industrial,consumption_residential,0.777838641
production_natural_gas,production_all_sources,0.772251057
revenue_all_sectors,consumption_other,0.763789064
revenue_residential,consumption_other,0.755561058
consumption_commercial,consumption_other,0.74864609
revenue_other,consumption_all_sectors,0.748190018
production_natural_gas,revenue_commercial,0.747216859
production_coal,production_all_sources,0.744717418
consumption_all_sectors,consumption_other,0.744231623
revenue_commercial,revenue_industrial,0.737624218
production_all_sources,revenue_commercial,0.737054568
production_natural_gas,revenue_industrial,0.729887603
revenue_commercial,consumption_other,0.7222343
revenue_all_sectors,consumption_industrial,0.721308897
price_other,price_residential,0.712746445
consumption_commercial,consumption_industrial,0.70946484
electricity_import,revenue_transportation,0.707259833
revenue_residential,consumption_industrial,0.703327992
consumption_other,consumption_residential,0.698126559
price_all_sectors,price_other,0.697060986
revenue_other,consumption_residential,0.695334794
