has,prefers,count
revenue_transportation,consumption_other,
consumption_other,consumption_transportation,
price_transportation,revenue_other,
price_other,consumption_transportation,
revenue_other,revenue_transportation,
price_other,price_transportation,
price_other,revenue_transportation,
revenue_other,consumption_transportation,
price_transportation,consumption_other,
price_all_sectors,price_commercial,1.987984307
price_all_sectors,price_residential,1.987373531
revenue_all_sectors,revenue_residential,1.98283685
revenue_all_sectors,consumption_commercial,1.979040702
price_commercial,price_residential,1.978735551
consumption_all_sectors,consumption_residential,1.97858731
revenue_transportation,consumption_transportation,1.974497606
revenue_other,consumption_other,1.972265485
revenue_residential,consumption_commercial,1.971953252
revenue_all_sectors,revenue_commercial,1.969050267
consumption_all_sectors,consumption_commercial,1.959633353
revenue_residential,consumption_residential,1.958666007
price_all_sectors,price_industrial,1.954025238
revenue_residential,consumption_all_sectors,1.95129445
revenue_commercial,consumption_commercial,1.950837481
production_all_sources,consumption_all_sectors,1.949946128
consumption_commercial,consumption_residential,1.945227115
revenue_all_sectors,consumption_all_sectors,1.944145596
price_commercial,price_industrial,1.936221071
revenue_industrial,consumption_industrial,1.929274138
revenue_commercial,revenue_residential,1.928249146
price_industrial,price_residential,1.926603483
production_all_sources,consumption_residential,1.925467532
revenue_all_sectors,consumption_residential,1.918676475
revenue_industrial,consumption_all_sectors,1.888577211
production_all_sources,consumption_industrial,1.888572133
production_all_sources,revenue_residential,1.876961282
production_all_sources,revenue_industrial,1.871928445
production_all_sources,consumption_commercial,1.865890382
consumption_all_sectors,consumption_industrial,1.861867573
production_all_sources,revenue_all_sectors,1.858340696
revenue_commercial,consumption_all_sectors,1.854355929
revenue_all_sectors,revenue_industrial,1.85174877
production_natural_gas,revenue_residential,1.841251365
revenue_commercial,consumption_residential,1.822730776
production_natural_gas,revenue_all_sectors,1.820834717
revenue_industrial,revenue_residential,1.813368163
revenue_industrial,consumption_residential,1.805972649
production_natural_gas,consumption_residential,1.805962601
revenue_all_sectors,revenue_other,1.804568903
revenue_industrial,consumption_commercial,1.803824942
production_natural_gas,consumption_all_sectors,1.797969451
production_natural_gas,consumption_commercial,1.793179438
production_coal,consumption_industrial,1.791062792
revenue_other,revenue_residential,1.784708061
revenue_commercial,revenue_other,1.782454083
revenue_other,consumption_commercial,1.777927716
consumption_industrial,consumption_residential,1.777838641
production_natural_gas,production_all_sources,1.772251057
revenue_all_sectors,consumption_other,1.763789064
revenue_residential,consumption_other,1.755561058
consumption_commercial,consumption_other,1.74864609
revenue_other,consumption_all_sectors,1.748190018
production_natural_gas,revenue_commercial,1.747216859
production_coal,production_all_sources,1.744717418
consumption_all_sectors,consumption_other,1.744231623
revenue_commercial,revenue_industrial,1.737624218
production_all_sources,revenue_commercial,1.737054568
production_natural_gas,revenue_industrial,1.729887603
revenue_commercial,consumption_other,1.7222343
revenue_all_sectors,consumption_industrial,1.721308897
price_other,price_residential,1.712746445
consumption_commercial,consumption_industrial,1.70946484
electricity_import,revenue_transportation,1.707259833
revenue_residential,consumption_industrial,1.703327992
consumption_other,consumption_residential,1.698126559
price_all_sectors,price_other,1.697060986
revenue_other,consumption_residential,1.695334794
