Department,Month,Actual,Actual.Pct,Budget,Budget.Pct,#
Executive,Jan,246,14.46,250,14.84,#
Executive,Feb,253,15.22,255,15.41,#
Executive,Mar,375,20.98,260,15.57,#
Executive,Apr,376,20.7,265,15.48,#
Executive,May,384,21.22,270,15.96,#
Executive,Jun,388,20.35,275,15.88,#
Executive,Jul,394,20.36,280,15.65,#
Executive,Aug,394,20.52,290,16.26,#
Executive,Sep,394,20.62,300,16.72,#
Executive,Oct,396,20.67,305,16.75,#
Executive,Nov,201,20.62,310,16.75,#
Executive,Dec,497,24.99,400,20.5,#
Facilities,Jan,193,11.35,190,11.28,#
Facilities,Feb,195,11.73,190,11.48,#
Facilities,Mar,186,10.41,180,10.78,#
Facilities,Apr,174,9.58,170,9.93,#
Facilities,May,166,9.17,170,10.05,#
Facilities,Jun,168,8.81,180,10.39,#
Facilities,Jul,200,10.34,190,10.62,#
Facilities,Aug,210,10.94,200,11.21,#
Facilities,Sep,208,10.88,200,11.15,#
Facilities,Oct,183,9.55,190,10.43,#
Facilities,Nov,87,8.92,190,10.26,#
Facilities,Dec,192,9.65,200,10.25,#
Finance,Jan,96,5.64,100,5.93,#
Finance,Feb,95,5.72,100,6.04,#
Finance,Mar,95,5.32,100,5.99,#
Finance,Apr,98,5.4,110,6.43,#
Finance,May,101,5.58,110,6.5,#
Finance,Jun,109,5.72,110,6.35,#
Finance,Jul,110,5.68,120,6.71,#
Finance,Aug,112,5.83,120,6.73,#
Finance,Sep,112,5.86,120,6.69,#
Finance,Oct,113,5.9,120,6.59,#
Finance,Nov,66,6.77,120,6.48,#
Finance,Dec,108,5.43,120,6.15,#
Human Resources,Jan,51,3,50,2.97,#
Human Resources,Feb,64,3.85,50,3.02,#
Human Resources,Mar,58,3.25,50,2.99,#
Human Resources,Apr,53,2.92,51,2.98,#
Human Resources,May,50,2.76,51,3.01,#
Human Resources,Jun,50,2.62,51,2.94,#
Human Resources,Jul,48,2.48,52,2.91,#
Human Resources,Aug,47,2.45,52,2.91,#
Human Resources,Sep,49,2.56,52,2.9,#
Human Resources,Oct,50,2.61,53,2.91,#
Human Resources,Nov,25,2.56,53,2.86,#
Human Resources,Dec,51,2.56,53,2.72,#
Information Technology,Jan,463,27.22,450,26.71,#
Information Technology,Feb,472,28.4,450,27.19,#
Information Technology,Mar,483,27.03,470,28.14,#
Information Technology,Apr,488,26.87,475,27.75,#
Information Technology,May,490,27.07,475,28.07,#
Information Technology,Jun,534,28,500,28.87,#
Information Technology,Jul,557,28.79,500,27.95,#
Information Technology,Aug,563,29.32,500,28.03,#
Information Technology,Sep,552,28.89,500,27.87,#
Information Technology,Oct,542,28.29,500,27.46,#
Information Technology,Nov,263,26.97,500,27.01,#
Information Technology,Dec,508,25.54,500,25.63,#
Marketing,Jan,99,5.82,100,5.93,#
Marketing,Feb,97,5.84,100,6.04,#
Marketing,Mar,95,5.32,100,5.99,#
Marketing,Apr,97,5.34,100,5.84,#
Marketing,May,104,5.75,100,5.91,#
Marketing,Jun,152,7.97,100,5.77,#
Marketing,Jul,89,4.6,100,5.59,#
Marketing,Aug,90,4.69,100,5.61,#
Marketing,Sep,86,4.5,100,5.57,#
Marketing,Oct,93,4.85,100,5.49,#
Marketing,Nov,73,7.49,150,8.1,#
Marketing,Dec,140,7.04,150,7.69,#
Sales,Jan,524,30.81,510,30.27,#
Sales,Feb,458,27.56,475,28.7,#
Sales,Mar,467,26.13,475,28.44,#
Sales,Apr,503,27.7,505,29.5,#
Sales,May,489,27.02,480,28.37,#
Sales,Jun,480,25.17,480,27.71,#
Sales,Jul,512,26.46,510,28.51,#
Sales,Aug,479,24.95,485,27.19,#
Sales,Sep,484,25.33,485,27.03,#
Sales,Oct,514,26.83,515,28.28,#
Sales,Nov,247,25.33,490,26.47,#
Sales,Dec,467,23.48,490,25.12,#
Technical Support,Jan,29,1.7,35,2.08,#
Technical Support,Feb,28,1.68,35,2.11,#
Technical Support,Mar,28,1.57,35,2.1,#
Technical Support,Apr,27,1.49,36,2.1,#
Technical Support,May,26,1.44,36,2.13,#
Technical Support,Jun,26,1.36,36,2.08,#
Technical Support,Jul,25,1.29,37,2.07,#
Technical Support,Aug,25,1.3,37,2.07,#
Technical Support,Sep,26,1.36,37,2.06,#
Technical Support,Oct,25,1.3,38,2.09,#
Technical Support,Nov,13,1.33,38,2.05,#
Technical Support,Dec,26,1.31,38,1.95,#
